latitude,longitude,prr_percent,dli_avg,drr_percent
40.49,-74.14,15.062719238675632,24.999999750000125,99.9999990000005
40.57,-77.58,13.04346622858305,24.99999975000026,99.99999900000104
40.81,-79.14,12.423898599679752,24.999999750000356,99.99999900000142
40.61,-73.5,14.92419938135745,24.999999750000278,99.99999900000111
40.69,-72.5,16.332928952148695,24.999999750000136,99.99999900000054
40.77,-74.14,15.856571256677366,24.999999750000235,99.99999900000094
40.53,-76.3,14.266596896556946,24.999999750000153,99.99999900000061
40.61,-74.06,16.003624211505173,24.999999750000136,99.99999900000054
40.81,-73.14,15.650330373741179,24.999999750000104,99.99999900000041
40.65,-72.86,15.7650748447061,24.999999750000264,99.99999900000105
40.73,-79.58,13.021996381089734,24.999999750000043,99.99999900000017
40.85,-78.1,12.769657407306164,24.999999749999933,99.99999899999973
40.57,-77.66,13.640655980517547,24.99999975000048,99.99999900000192
40.61,-72.42,20.666625463799292,24.999999750000306,99.99999900000122
40.49,-74.46,15.748554525395658,24.999999750000427,99.99999900000171
40.53,-75.1,14.988879530737078,24.999999750000367,99.99999900000147
40.61,-78.58,12.305382776478307,24.999999749999983,99.99999899999993
40.69,-79.06,12.507371451688634,24.99999975000001,99.99999900000005
40.73,-79.02,12.376928699219073,24.999999750000068,99.99999900000027
40.81,-79.1,12.957521318591425,24.999999750000118,99.99999900000047
40.57,-74.86,14.46351196239004,24.99999975000006,99.99999900000024
40.61,-77.46,12.936518460026628,24.999999750000065,99.99999900000026
40.73,-77.82,12.479741606217376,24.999999750000104,99.99999900000041
40.57,-78.06,12.279826771242568,24.999999750000054,99.99999900000022
40.65,-77.74,12.375396152748879,24.999999750000097,99.99999900000039
40.65,-76.94,13.66560640515482,24.999999750000093,99.99999900000037
40.53,-78.5,12.498514138262568,24.99999975000008,99.99999900000032
40.49,-78.3,12.425320587098394,24.999999750000065,99.99999900000026
40.65,-73.3,15.283339005204228,24.99999975000021,99.99999900000084
40.77,-78.06,12.706480993546986,24.999999750000104,99.99999900000041
40.73,-75.74,14.534171480788235,24.99999975000025,99.999999000001
40.77,-78.42,12.399013441020136,24.99999975000017,99.99999900000068
40.69,-74.14,15.69666958143724,24.99999975000019,99.99999900000076
40.57,-77.1,13.811026277745524,24.999999749999958,99.99999899999983
40.65,-72.82,15.993145283619379,24.99999975000012,99.99999900000049
40.69,-73.46,15.409681525198923,24.999999750000043,99.99999900000017
40.81,-72.5,14.15543946740622,24.999999750000136,99.99999900000054
40.49,-75.74,14.605648241988353,24.999999750000157,99.99999900000063
40.61,-74.74,14.525245939195827,24.99999975000013,99.99999900000051
40.69,-74.46,14.808067560564092,24.999999750000125,99.9999990000005
40.65,-75.5,14.597548308687427,24.999999750000033,99.99999900000013
40.61,-76.1,13.78172814958364,24.999999749999976,99.9999989999999
40.61,-74.14,15.149045150908542,24.999999750000182,99.99999900000073
40.73,-75.86,14.029115653900648,24.99999975000014,99.99999900000056
40.85,-78.14,12.063382710337242,24.999999750000114,99.99999900000046
40.77,-74.38,15.174171396014083,24.999999750000075,99.9999990000003
40.53,-75.06,14.749919929885081,24.999999750000157,99.99999900000063
40.53,-77.94,12.362632219691761,24.999999750000107,99.99999900000043
40.53,-74.78,14.302091056316591,24.999999750000114,99.99999900000046
40.77,-78.3,12.101731061333865,24.999999749999997,99.99999899999999
40.77,-74.42,15.167708071734959,24.999999750000075,99.9999990000003
